"from","to","weight","year"
"DEU","USA",275.4,2019
"DNK","NOR",62.68551,2019
"USA","DNK",144.512488,2019
"IRL","ESP",118.654715,2019
"USA","ESP",54.849821,2019
"USA","FRA",242.906351,2019
"GBR","HKG",68.9,2019
"IRL","GBR",165.9,2019
"GBR","ITA",130.2,2019
"GBR","JPN",162.1,2019
"GBR","KOR",79.1,2019
"GBR","NLD",210.6,2019
"GBR","SGP",70.2,2019
"GBR","USA",1522.8,2019
"GRC","IRL",67.163047,2019
"USA","ITA",118.206961,2019
"SWE","NLD",229.025988,2019
"ROU","USA",117.535331,2019
"USA","RUS",137.504,2019
"USA","SWE",81.71504,2019
"USA","SVK",60.446742,2019
"USA","ZAF",57,2019
"IRL","AUT",68.372835,2020
"CAN","USA",546.6,2020
"ESP","COL",76.46,2020
"USA","COL",201.76,2020
"CRI","GBR",53.967788,2020
"CRI","IRL",89.560122,2020
"CRI","NLD",158.734987,2020
"CRI","USA",898.132515,2020
"IRL","CZE",77.945031,2020
"GBR","DEU",214.7,2020
"GBR","DEU",214.7,2020
"DEU","IRL",96,2020
"DEU","IRL",96,2020
"DEU","ITA",98.3,2020
"DEU","ITA",98.3,2020
"NLD","DEU",85.7,2020
"NLD","DEU",85.7,2020
"DNK","NOR",59.256457,2020
"USA","DNK",143.924818,2020
"IRL","ESP",127.629292,2020
"ESP","USA",107.117441,2020
"USA","FRA",312.235946,2020
"GBR","HKG",66.7,2020
"IRL","GBR",202.6,2020
"GBR","ITA",130.8,2020
"GBR","JPN",233.3,2020
"GBR","NLD",166.7,2020
"GBR","RUS",57.7,2020
"GBR","SWE",67.9,2020
"GBR","SGP",64.1,2020
"GBR","USA",1861.5,2020
"IRL","USA",148.141143,2020
"USA","ITA",76.69153,2020
"ROU","USA",156.345882,2020
"USA","RUS",148.091,2020
"IRL","AUT",85.151334,2021
"BGR","GBR",96.031783,2021
"BGR","USA",94.730859,2021
"CAN","USA",670,2021
"ESP","COL",67.48,2021
"MEX","COL",64.49,2021
"USA","COL",226.43,2021
"DEU","CZE",94.021264,2021
"DEU","CZE",94.021264,2021
"IRL","CZE",74.270886,2021
"NLD","CZE",73.916088,2021
"CZE","USA",66.938409,2021
"DEU","ESP",95.8,2021
"DEU","ESP",95.8,2021
"DEU","FRA",188.1,2021
"DEU","FRA",188.1,2021
"GBR","DEU",126.5,2021
"GBR","DEU",126.5,2021
"DEU","ITA",131.3,2021
"DEU","ITA",131.3,2021
"DEU","JPN",92.3,2021
"DEU","JPN",92.3,2021
"LUX","DEU",149,2021
"LUX","DEU",149,2021
"NLD","DEU",106.4,2021
"NLD","DEU",106.4,2021
"DNK","ESP",58.186745,2021
"GBR","DNK",68.121067,2021
"USA","DNK",130.565379,2021
"ESP","IRL",150.197492,2021
"ESP","USA",63.863501,2021
"GBR","HKG",111.4,2021
"IRL","GBR",85.3,2021
"GBR","ITA",203.6,2021
"GBR","JPN",195.3,2021
"GBR","KOR",90.8,2021
"GBR","NLD",281.9,2021
"GBR","NOR",74.3,2021
"GBR","SWE",103.2,2021
"GBR","SGP",101.7,2021
"GBR","USA",1833.4,2021
"IRL","USA",183.3119,2021
"USA","ITA",71.314243,2021
"NLD","SWE",98.988426,2021
"NLD","USA",125.479952,2021
"NLD","ZAF",103.837321,2021
"ROU","USA",198.686446,2021
"USA","RUS",132.543,2021
"USA","SWE",155.874248,2021
"NLD","AUT",98.855537,2022
"FRA","BEL",379.647328,2022
"FRA","BEL",379.647328,2022
"BGR","GBR",113.263205,2022
"BGR","USA",95.910904,2022
"CAN","USA",1458.2,2022
"ESP","COL",95.22,2022
"USA","COL",224.07,2022
"DEU","CZE",95.595407,2022
"DEU","CZE",95.595407,2022
"CZE","GBR",170.578384,2022
"IRL","CZE",104.11381,2022
"NLD","CZE",139.34424,2022
"DEU","ESP",93.7,2022
"DEU","ESP",93.7,2022
"DEU","FRA",240.1,2022
"DEU","FRA",240.1,2022
"GBR","DEU",247.4,2022
"GBR","DEU",247.4,2022
"LUX","DEU",312.7,2022
"LUX","DEU",312.7,2022
"USA","DEU",772.9,2022
"USA","DEU",772.9,2022
"GBR","DNK",125.357234,2022
"USA","DNK",128.93286,2022
"ESP","FRA",112.527048,2022
"ESP","GBR",349.149343,2022
"IRL","ESP",191.401146,2022
"USA","FRA",239.77726,2022
"GBR","HKG",117,2022
"GBR","ITA",186.1,2022
"GBR","JPN",342.7,2022
"GBR","KOR",101.1,2022
"GBR","NLD",406.8,2022
"GBR","SWE",107.3,2022
"GBR","SGP",93.7,2022
"GBR","USA",2859.6,2022
"IRL","USA",164.058125,2022
"USA","ITA",128.301867,2022
"NLD","SWE",115.892342,2022
"NLD","USA",118.626644,2022
"NLD","ZAF",92.335278,2022
"ROU","USA",326.643934,2022
"USA","SWE",136.294442,2022
"USA","TUR",113.683867,2022
"NLD","AUT",181.653966,2023
"BGR","GBR",139.159913,2023
"BGR","USA",130.617851,2023
"ESP","COL",99.22,2023
"USA","COL",201.29,2023
"COL","URY",230.72,2023
"IRL","CZE",97.206498,2023
"CZE","USA",105.532304,2023
"GBR","DEU",259.5,2023
"GBR","DEU",259.5,2023
"DEU","IRL",1106.1,2023
"DEU","IRL",1106.1,2023
"DEU","ITA",127.6,2023
"DEU","ITA",127.6,2023
"LUX","DEU",354.6,2023
"LUX","DEU",354.6,2023
"USA","DEU",708.2,2023
"USA","DEU",708.2,2023
"IRL","EST",94.935822,2023
"ESP","FRA",261.668213,2023
"ESP","GBR",175.166324,2023
"IRL","ESP",242.205288,2023
"USA","ESP",127.590286,2023
"USA","FRA",210.848353,2023
"GBR","ITA",238.6,2023
"GBR","JPN",249.9,2023
"GBR","NLD",1162.1,2023
"GBR","SWE",109.4,2023
"GBR","SGP",195.2,2023
"GBR","USA",1858.2,2023
"USA","ITA",117.96695,2023
"NLD","SWE",140.024932,2023
"NLD","ZAF",117.750695,2023
"ROU","USA",249.125439,2023
"USA","SWE",150.729541,2023
